,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
1067,8/8/2009,Yes,Nicaragua,IRD:Human,CY073632,CY073631,CY073630,CY073625,CY073628,CY073627,CY073626,CY073629,-N/A-,A/Managua/5595.03/2009(H1N1),H1N1
1068,6/3/2010,Yes,Nicaragua,IRD:Human,CY088789,CY088788,CY088787,CY088782,CY088785,CY088784,CY088783,CY088786,-N/A-,A/Managua/5664.02/2010(H3N2),H3N2
1069,6/22/2009,Yes,Nicaragua,IRD:Human,CY058147,CY058146,CY058145,CY058140,CY058143,CY058142,CY058141,CY058144,-N/A-,A/Managua/5665.01/2009(H1N1),H1N1
1070,6/5/2010,Yes,Nicaragua,IRD:Human,CY074818,CY074817,CY074816,CY074811,CY074814,CY074813,CY074812,CY074815,-N/A-,A/Managua/5674.05/2010(H3N2),H3N2
1071,3/19/2010,Yes,Nicaragua,IRD:Human,CY089378,CY089377,CY089376,CY089371,CY089374,CY089373,CY089372,CY089375,-N/A-,A/Managua/5708.01/2010(H1N1),H1N1
1072,9/5/2009,Yes,Nicaragua,IRD:Human,CY072813,CY072812,CY072811,CY072806,CY072809,CY072808,CY072807,CY072810,-N/A-,A/Managua/572.02/2009(H1N1),H1N1
1073,6/7/2010,Yes,Nicaragua,IRD:Human,CY093124,CY093123,CY093122,CY093117,CY093120,CY093119,CY093118,CY093121,-N/A-,A/Managua/5744.03/2010,H3N2
1074,8/15/2009,Yes,Nicaragua,IRD:Human,CY058611,CY058610,CY058609,CY058604,CY058607,CY058606,CY058605,CY058608,-N/A-,A/Managua/5747.02/2009(H1N1),H1N1
1075,6/12/2009,Yes,Nicaragua,IRD:Human,CY058219,CY058218,CY058217,CY058212,CY058215,CY058214,CY058213,CY058216,-N/A-,A/Managua/578.01/2009(H1N1),H1N1
1076,1/25/2011,Yes,Nicaragua,IRD:Human,CY092304,CY092303,CY092302,CY092297,CY092300,CY092299,CY092298,CY092301,-N/A-,A/Managua/58-11/2011,H3N2
1077,6/2/2010,Yes,Nicaragua,IRD:Human,CY088930,CY088929,CY088928,CY088923,CY088926,CY088925,CY088924,CY088927,-N/A-,A/Managua/5801.02/2010,H3N2
1078,6/8/2010,Yes,Nicaragua,IRD:Human,CY070934,CY070933,CY070932,CY070927,CY070930,CY070929,CY070928,CY070931,-N/A-,A/Managua/5806.01/2010(H3N2),H3N2
1079,6/3/2010,Yes,Nicaragua,IRD:Human,CY098072,CY098071,CY098070,CY098065,CY098068,CY098067,CY098066,CY098069,-N/A-,A/Managua/5828.02/2010,H3N2
1080,7/12/2009,Yes,Nicaragua,IRD:Human,CY072965,CY072964,CY072963,CY072958,CY072961,CY072960,CY072959,CY072962,-N/A-,A/Managua/585.01/2009(H1N1),H1N1
1081,6/5/2010,Yes,Nicaragua,IRD:Human,CY074890,CY074889,CY074888,CY074883,CY074886,CY074885,CY074884,CY074887,-N/A-,A/Managua/5863.02/2010(H3N2),H3N2
1082,6/11/2010,Yes,Nicaragua,IRD:Human,CY089026,CY089025,CY089024,CY089019,CY089022,CY089021,CY089020,CY089023,-N/A-,A/Managua/5870.02/2010,H3N2
1083,6/8/2010,Yes,Nicaragua,IRD:Human,CY074722,CY074721,CY074720,CY074715,CY074718,CY074717,CY074716,CY074719,-N/A-,A/Managua/5871.02/2010(H3N2),H3N2
1084,6/6/2010,Yes,Nicaragua,IRD:Human,CY088970,CY088969,CY088968,CY088963,CY088966,CY088965,CY088964,CY088967,-N/A-,A/Managua/5898.02/2010,H3N2
1085,6/4/2010,Yes,Nicaragua,IRD:Human,CY074690,CY074689,CY074688,CY074683,CY074686,CY074685,CY074684,CY074687,-N/A-,A/Managua/5906.01/2010(H3N2),H3N2
1086,9/8/2009,Yes,Nicaragua,IRD:Human,CY073696,CY073695,CY073694,CY073689,CY073692,CY073691,CY073690,CY073693,-N/A-,A/Managua/5953.01/2009(H1N1),H1N1
1087,6/25/2009,Yes,Nicaragua,IRD:Human,CY057229,CY057228,CY057227,CY057222,CY057225,CY057224,CY057223,CY057226,-N/A-,A/Managua/611.01/2009(H1N1),H1N1
1088,8/25/2009,Yes,Nicaragua,IRD:Human,CY058595,CY058594,CY058593,CY058588,CY058591,CY058590,CY058589,CY058592,-N/A-,A/Managua/65.02/2009(H1N1),H1N1
1089,6/12/2009,Yes,Nicaragua,IRD:Human,CY058099,CY058098,CY058097,CY058092,CY058095,CY058094,CY058093,CY058096,-N/A-,A/Managua/655.02/2009(H1N1),H1N1
1090,6/25/2009,Yes,Nicaragua,IRD:Human,CY058211,CY058210,CY058209,CY058204,CY058207,CY058206,CY058205,CY058208,-N/A-,A/Managua/791.03/2009(H1N1),H1N1
1091,6/13/2009,Yes,Nicaragua,IRD:Human,CY058179,CY058178,CY058177,CY058172,CY058175,CY058174,CY058173,CY058176,-N/A-,A/Managua/792.01/2009(H1N1),H1N1
1092,6/7/2010,Yes,Nicaragua,IRD:Human,CY074762,CY074761,CY074760,CY074755,CY074758,CY074757,CY074756,CY074759,-N/A-,A/Managua/80.1/2010(H3N2),H3N2
1093,6/12/2010,Yes,Nicaragua,IRD:Human,CY074794,CY074793,CY074792,CY074787,CY074790,CY074789,CY074788,CY074791,-N/A-,A/Managua/90.01/2010(H3N2),H3N2
1094,6/2/2010,Yes,Nicaragua,IRD:Human,CY074730,CY074729,CY074728,CY074723,CY074726,CY074725,CY074724,CY074727,-N/A-,A/Managua/905.02/2010(H3N2),H3N2
1095,8/13/2009,Yes,Nicaragua,IRD:Human,CY073584,CY073583,CY073582,CY073577,CY073580,CY073579,CY073578,CY073581,-N/A-,A/Managua/921.02/2009(H1N1),H1N1
1096,8/18/2009,Yes,Nicaragua,IRD:Human,CY058587,CY058586,CY058585,CY058580,CY058583,CY058582,CY058581,CY058584,-N/A-,A/Managua/989.01/2009(H1N1),H1N1
1097,6/13/2009,Yes,Nicaragua,IRD:Human,CY083500,CY083501,CY083502,CY083503,CY083504,CY083505,CY083506,CY083507,-N/A-,A/Managua/WRAIR1693P/2009(H1N1),H1N1
1098,6/6/2009,Yes,Nicaragua,IRD:Human,CY083596,CY083597,CY083598,CY083599,CY083600,CY083601,CY083602,CY083603,-N/A-,A/Managua/WRAIR8964F/2009(H1N1),H1N1
1099,1/10/2011,Yes,USA,IRD:Human,KC882046,KC882047,KC881897,KC881898,KC881899,KC881900,KC881901,KC882048,Maryland,A/Maryland/03/2011,H1N1
1100,2/2/2011,Yes,USA,IRD:Human,KC882381,KC882382,KC882383,KC882339,KC882384,KC881963,KC882341,KC882385,Maryland,A/Maryland/04/2011,H1N1
1101,4/29/2009,Yes,USA,IRD:Human,GQ160563,GQ160562,GQ200253,GQ160565,GQ160561,GQ323521,GQ338365,GQ160564,Maryland,A/Maryland/05/2009(H1N1),H1N1
1102,1/24/2011,Yes,USA,IRD:Human,KC882377,KC882378,KC882379,KC882349,KC882380,KC882350,KC882325,KC882404,Maryland,A/Maryland/05/2011,H1N1
1103,2/22/2011,Yes,USA,IRD:Human,KC882386,KC882387,KC882388,KC882336,KC882389,KC882337,KC882338,KC882405,Maryland,A/Maryland/06/2011,H1N1
1104,2/25/2011,Yes,USA,IRD:Human,KC882390,KC882391,KC882392,KC882334,KC882406,KC882335,KC882342,KC882407,Maryland,A/Maryland/07/2011,H1N1
1105,3/2/2011,Yes,USA,IRD:Human,KC882316,KC882393,KC882394,KC882395,KC882396,KC882397,KC882351,KC882317,Maryland,A/Maryland/08/2011,H1N1
1106,11/9/2009,Yes,USA,IRD:Human,KC780793,KC780797,KC780798,KC780794,KC780799,KC780796,KC780795,KC780792,Maryland,A/Maryland/31/2009,H1N1
1107,10/25/2009,Yes,USA,IRD:Human,CY092919,CY092918,CY092917,CY092912,CY092915,CY092914,CY092913,CY092916,Maryland,A/Maryland/NHRC0001/2009,H1N1
1108,10/15/2009,Yes,USA,IRD:Human,CY092927,CY092926,CY092925,CY092920,CY092923,CY092922,CY092921,CY092924,Maryland,A/Maryland/NHRC0002/2009,H1N1
